evaluation_case_id,claim_id,deterministic_outcome,triggering_rule_id,precedence_stage,reference_chunk_hit,reference_chunks_retrieved,context_precision,context_recall,faithfulness,answer_relevancy,context_relevance_human,groundedness_human,answer_relevance_human,hallucination_control_human,critical_safety_failure_human,semantic_context_coverage
GEN-001,CLM-000001,PROCEED,OUT-001,6,False,[],0.49999999995,0.0,0.6,0.4679537688599586,3,4,4,4,NO,False
GEN-002,CLM-000053,PROCEED,OUT-001,6,False,[],0.49999999995,0.0,0.38461538461538464,0.48501823707442454,3,4,4,4,NO,False
GEN-003,CLM-000177,PROCEED,OUT-001,6,False,[],0.0,0.0,0.75,0.47662456152347293,3,4,4,4,NO,False
GEN-004,CLM-000103,INFO_REQUIRED,DEV-001,3,False,[],0.49999999995,0.0,0.6,0.5065903621209673,2,4,4,4,NO,False
GEN-005,CLM-000104,INFO_REQUIRED,DEV-001,3,False,[],0.9999999999,1.0,0.8571428571428571,0.5198791338923799,2,4,4,4,NO,True
GEN-006,CLM-000122,INFO_REQUIRED,EVD-001,5,True,['KB-002::S02'],0.5833333333041666,1.0,0.8,0.5435170832184554,4,4,4,4,NO,True
GEN-007,CLM-000149,MANUAL_REVIEW,EVD-002,1,True,['KB-002::S02'],0.9999999999666667,1.0,0.5,0.5492135725011883,4,4,4,4,NO,True
GEN-008,CLM-000164,MANUAL_REVIEW,DATA-002,1,False,[],0.49999999995,0.5,0.5625,0.5866361130252827,2,4,4,4,NO,True
GEN-009,CLM-000180,MANUAL_REVIEW,ANM-001,4,False,[],0.3333333333,0.0,0.6666666666666666,0.6025714583562125,2,4,3,4,NO,False
GEN-010,CLM-000154,NOT_ELIGIBLE,COV-001,2,True,['KB-002::S02'],0.99999999995,1.0,0.6,0.5638223799284492,3,3,3,3,NO,True
GEN-011,CLM-000191,NOT_ELIGIBLE,COV-001,2,False,[],0.9999999999,0.5,0.5,0.558986883439867,3,3,3,3,NO,True
GEN-012,CLM-000206,NOT_ELIGIBLE,LIM-001,2,False,[],0.0,0.0,0.7,0.5368880374933863,2,3,3,3,NO,False
