claim_id,case_created_date,claim_submission_channel,claim_language,policy_id_provided,customer_id_provided,claimed_device_identifier,reported_incident_date,claim_category_selected,requested_service_type,evidence_bundle_id,customer_statement,intake_record_status,record_snapshot_date
CLM-000054,2026-03-26,WEB_PORTAL,EN,POL-00062,CUS-0097,DVC-00000062,2026-03-18,MECHANICAL_BREAKDOWN,REPAIR,EBND-000054,The phone's power button and charging function stopped working during normal use. I would like a repair assessment.,SUBMITTED,2026-06-23
CLM-000055,2025-12-05,MOBILE_APP,EN,POL-00072,CUS-0011,DVC-00000072,2025-12-03,SCREEN_DAMAGE,REPAIR,EBND-000055,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading. The device reference is DVC-00000072.",SUBMITTED,2026-06-23
CLM-000056,2026-06-06,MOBILE_APP,EN,POL-00118,CUS-0088,DVC-00000118,2026-06-06,SCREEN_DAMAGE,REPAIR,EBND-000056,"My phone slipped from my hand and the screen cracked. The display is still on, but there are visible cracks across the front.",SUBMITTED,2026-06-23
CLM-000057,2026-04-05,CONTACT_CENTER,EN,POL-00016,CUS-0087,DVC-00000016,2026-03-30,MECHANICAL_BREAKDOWN,UNSPECIFIED,EBND-000057,The phone's power button and charging function stopped working during normal use. I would like a repair assessment.,SUBMITTED,2026-06-23
CLM-000058,2026-06-03,CONTACT_CENTER,EN,POL-00058,CUS-0071,DVC-00000058,2026-05-28,MECHANICAL_BREAKDOWN,REPAIR,EBND-000058,My phone has started shutting down unexpectedly and will not hold a charge. There was no drop or liquid exposure. The device reference is DVC-00000058.,SUBMITTED,2026-06-23
CLM-000059,2025-08-06,WEB_PORTAL,EN,POL-00105,CUS-0056,DVC-00000105,2025-08-03,LIQUID_DAMAGE,REPAIR,EBND-000059,My phone was exposed to water and it has not been charging properly since then. I am requesting a damage assessment. I have included the supporting documents available to me.,SUBMITTED,2026-06-23
CLM-000060,2026-05-12,MOBILE_APP,EN,POL-00084,CUS-0068,DVC-00000084,2026-05-12,ACCIDENTAL_DAMAGE,REPLACEMENT,EBND-000060,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request.,SUBMITTED,2026-06-23
CLM-000061,2026-04-24,WEB_PORTAL,EN,POL-00055,CUS-0045,DVC-00000055,2026-04-20,SCREEN_DAMAGE,REPAIR,EBND-000061,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired. The device reference is DVC-00000055.,SUBMITTED,2026-06-23
CLM-000062,2026-06-08,WEB_PORTAL,EN,POL-00028,CUS-0066,DVC-00000028,2026-05-31,ACCIDENTAL_DAMAGE,REPLACEMENT,EBND-000062,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request.,SUBMITTED,2026-06-23
CLM-000063,2026-05-19,CONTACT_CENTER,EN,POL-00053,CUS-0046,DVC-00000053,2026-05-13,ACCIDENTAL_DAMAGE,UNSPECIFIED,EBND-000063,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request.,SUBMITTED,2026-06-23
CLM-000064,2026-04-17,CONTACT_CENTER,EN,POL-00093,CUS-0039,DVC-00000093,2026-04-10,MECHANICAL_BREAKDOWN,REPAIR,EBND-000064,The phone's power button and charging function stopped working during normal use. I would like a repair assessment. The device reference is DVC-00000093.,SUBMITTED,2026-06-23
CLM-000065,2026-05-25,MOBILE_APP,EN,POL-00019,CUS-0018,DVC-00000019,2026-05-21,SCREEN_DAMAGE,REPAIR,EBND-000065,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired.,SUBMITTED,2026-06-23
