rule_id,rule_name,rule_domain,priority,applies_to_plan_id,applies_to_claim_category,applies_when,required_input_fields,pass_condition,failure_condition,missing_or_unknown_handling,outcome_on_failure,manual_review_reason,policy_reference,severity,rationale,rule_version,effective_start_date,effective_end_date,active_flag
DATA-001,Unique policy eligibility record available,Data Validation,10,ALL,ALL,A claim is submitted for assessment.,customer_id OR policy_id; policy eligibility lookup result,Exactly one policy eligibility record is matched to the submitted claim.,No policy eligibility record can be matched using the available identifiers.,Request the missing or corrected customer/policy reference; do not infer a policy.,INFO_REQUIRED,,DATA-LOOKUP-01,BLOCKING,The system cannot assess coverage without a uniquely identified enrolment record.,1.0,2026-06-22,,Yes
DATA-002,Conflicting or multiple policy records,Data Validation,10,ALL,ALL,More than one candidate policy record is returned or source data conflicts.,policy eligibility lookup result; source-system match status,One authoritative policy record is returned and key fields are internally consistent.,"Multiple matching records, duplicate active policies, or material conflict between authoritative sources.",Do not ask the customer to resolve a system conflict; refer to an analyst.,MANUAL_REVIEW,DATA_CONFLICT,DATA-LOOKUP-02,BLOCKING,The agent must not choose among conflicting system records.,1.0,2026-06-22,,Yes
DATA-003,Plan version and coverage configuration available,Data Validation,10,ALL,ALL,A unique policy record has been found.,plan_id; plan version/effective dates; plan coverage matrix,An active plan version and corresponding coverage configuration are available for the policy and incident date.,"The plan, plan version, or coverage configuration is unavailable or outside the configured scope.",Do not infer missing product terms; refer to an analyst.,MANUAL_REVIEW,RULE_NOT_AVAILABLE,DATA-PLAN-01,BLOCKING,"Coverage cannot be assessed without a valid, effective policy configuration.",1.0,2026-06-22,,Yes
ELG-001,Incident date present and valid,Eligibility,30,ALL,ALL,The claim category is potentially assessable.,incident_date,"Incident date is present, parseable, and not a future date relative to claim intake.","Incident date is missing, ambiguous, malformed, or clearly in the future.",Request the date on which the incident occurred; do not estimate it from narrative wording alone.,INFO_REQUIRED,,ELG-DATE-01,BLOCKING,Coverage-period and waiting-period checks require a reliable incident date.,1.0,2026-06-22,,Yes
ELG-002,Policy active on incident date,Eligibility,20,ALL,ALL,A valid incident date and policy record are available.,coverage_start_date; coverage_end_date; policy_status; cancellation_or_suspension_effective_date; incident_date,Incident date falls within the policy coverage period and the policy was not cancelled or suspended on that date.,"Incident date is before coverage start, after coverage end, or during a verified cancellation/suspension period.","If status history is incomplete or contradictory, route under DATA-002 rather than inferring eligibility.",NOT_ELIGIBLE,,ELG-ACTIVE-01,BLOCKING,An inactive policy is a conclusive coverage failure when dates and status are verified.,1.0,2026-06-22,,Yes
ELG-003,Supported product and operating scope,Eligibility,10,ALL,ALL,A policy record is available.,product_family; device_category; operating_region; policy_version,The policy belongs to the configured DeviceProtect smartphone product scope and supported operating context.,"The policy belongs to an unsupported product family, device category, operating region, or policy version.",Unsupported or unclear scope is referred to an analyst; it is not a customer-facing decline.,MANUAL_REVIEW,RULE_NOT_AVAILABLE,ELG-SCOPE-01,BLOCKING,The MVP must not apply smartphone-product rules outside its defined scope.,1.0,2026-06-22,,Yes
DEV-001,Claimed device identifier available,Device Validation,30,ALL,ALL,A claim refers to a covered smartphone.,claimed_device_identifier (IMEI or serial number),The claim provides a usable IMEI or serial number sufficient for matching.,"Device identifier is missing, malformed, or not usable for matching.","Request the IMEI or serial number shown on the device, proof of purchase, or device settings.",INFO_REQUIRED,,DEV-ID-01,BLOCKING,Device-specific coverage requires a reliable device identifier.,1.0,2026-06-22,,Yes
DEV-002,Unresolved claimed-device mismatch,Device Validation,10,ALL,ALL,A usable claimed device identifier and enrolled device identifier are both available.,claimed_device_identifier; enrolled_device_identifier; replacement_device_history; match_confidence,Claimed device matches the enrolled device or a verified approved replacement-device record.,"Claimed device does not match, but the mismatch could be explained by input error, replacement history, or data-sync delay.",Refer for analyst validation rather than rejecting based on a single mismatch.,MANUAL_REVIEW,DEVICE_MISMATCH,DEV-MATCH-01,BLOCKING,Some mismatches are correctable operational-data issues rather than conclusive non-coverage.,1.0,2026-06-22,,Yes
DEV-003,Verified device not enrolled,Device Validation,20,ALL,ALL,An analyst-quality device match decision is available.,claimed_device_identifier; enrolled_device_identifier; replacement_device_history; verified_device_match_status,Verified device match status is MATCHED or APPROVED_REPLACEMENT.,Verified device match status is NOT_ENROLLED.,"If verification is not conclusive, apply DEV-002 instead.",NOT_ELIGIBLE,,DEV-MATCH-02,BLOCKING,A clearly verified non-enrolled device is outside the customer’s protection plan.,1.0,2026-06-22,,Yes
CLM-001,Claim category identifiable,Claim Classification,30,ALL,ALL,A claim narrative or structured intake has been received.,claim_category OR claim_description,"One supported claim category can be identified: SCREEN_DAMAGE, ACCIDENTAL_DAMAGE, LIQUID_DAMAGE, MECHANICAL_BREAKDOWN, or THEFT.","Category is absent, ambiguous, or cannot be mapped to a supported category with sufficient certainty.",Ask a targeted question about what happened and the resulting device issue; do not guess the category.,INFO_REQUIRED,,CLM-CAT-01,BLOCKING,Coverage and evidence requirements depend on the claim category.,1.0,2026-06-22,,Yes
