claim_id,case_created_date,claim_submission_channel,claim_language,policy_id_provided,customer_id_provided,claimed_device_identifier,reported_incident_date,claim_category_selected,requested_service_type,evidence_bundle_id,customer_statement,intake_record_status,record_snapshot_date
CLM-000001,2025-07-14,CONTACT_CENTER,EN,POL-00018,CUS-0033,DVC-00000018,2025-07-14,SCREEN_DAMAGE,REPAIR,EBND-000001,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired. The device reference is DVC-00000018.,SUBMITTED,2026-06-23
CLM-000002,2024-12-31,WEB_PORTAL,EN,POL-00054,CUS-0013,DVC-00000054,2024-12-23,SCREEN_DAMAGE,UNSPECIFIED,EBND-000002,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading.",SUBMITTED,2026-06-23
CLM-000003,2025-04-04,WEB_PORTAL,EN,POL-00079,CUS-0003,DVC-00000079,2025-04-01,ACCIDENTAL_DAMAGE,UNSPECIFIED,EBND-000003,I knocked my phone off the counter. The back panel is cracked and one of the side buttons is no longer working.,SUBMITTED,2026-06-23
CLM-000004,2024-11-08,WEB_PORTAL,EN,POL-00005,CUS-0006,DVC-00000005,2024-11-03,MECHANICAL_BREAKDOWN,REPAIR,EBND-000004,My phone has started shutting down unexpectedly and will not hold a charge. There was no drop or liquid exposure. The device reference is DVC-00000005.,SUBMITTED,2026-06-23
CLM-000005,2025-04-30,WEB_PORTAL,EN,POL-00117,CUS-0093,DVC-00000117,2025-04-22,SCREEN_DAMAGE,UNSPECIFIED,EBND-000005,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired.,SUBMITTED,2026-06-23
CLM-000006,2025-08-09,CONTACT_CENTER,EN,POL-00094,CUS-0081,DVC-00000094,2025-08-01,SCREEN_DAMAGE,REPAIR,EBND-000006,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired.,SUBMITTED,2026-06-23
CLM-000007,2025-03-15,CONTACT_CENTER,EN,POL-00005,CUS-0006,DVC-00000005,2025-03-07,ACCIDENTAL_DAMAGE,REPAIR,EBND-000007,My phone fell onto a hard surface and the rear glass and frame were damaged. I need it assessed for repair. The device reference is DVC-00000005.,SUBMITTED,2026-06-23
CLM-000008,2025-11-02,MOBILE_APP,EN,POL-00092,CUS-0082,DVC-00000092,2025-10-28,SCREEN_DAMAGE,REPAIR,EBND-000008,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading.",SUBMITTED,2026-06-23
CLM-000009,2025-10-12,MOBILE_APP,EN,POL-00092,CUS-0082,DVC-00000092,2025-10-12,MECHANICAL_BREAKDOWN,REPAIR,EBND-000009,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue.,SUBMITTED,2026-06-23
CLM-000010,2025-04-24,CONTACT_CENTER,EN,POL-00117,CUS-0093,DVC-00000117,2025-04-18,MECHANICAL_BREAKDOWN,REPAIR,EBND-000010,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue. The device reference is DVC-00000117.,SUBMITTED,2026-06-23
