claim_id,workflow_status,gold_disposition,predicted_disposition,disposition_match,gold_primary_rule_id,gold_acceptable_primary_rule_ids,predicted_triggering_rule_id,primary_rule_exact_match,primary_rule_acceptable_match,deterministic_outcome,final_matches_deterministic_outcome,deterministic_rule,final_matches_deterministic_rule,authority_guardrail_status,content_safety_status,content_safety_fallback_used,gold_follow_up_question_ids,predicted_follow_up_question_ids,follow_up_exact_match,predicted_follow_up_required,predicted_follow_up_selection_status,decision_support_only,workflow_trace
CLM-000001,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000002,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000003,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000004,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000005,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000006,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000007,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000008,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000009,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000010,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000011,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000012,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000013,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000014,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000015,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000016,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000017,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000018,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000019,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000020,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000021,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000022,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000023,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000024,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000025,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000026,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000027,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000028,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000029,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000030,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000031,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000032,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000033,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000034,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000035,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
CLM-000036,COMPLETED,PROCEED,PROCEED,True,OUT-001,['OUT-001'],OUT-001,True,True,PROCEED,True,OUT-001,True,ALIGNED,SAFE,False,[],[],True,False,NOT_REQUIRED,True,deterministic_triage -> controlled_follow_up_selection -> explanation_proposal -> agent_content_safety_guardrail -> response_guardrail
