query_id,query_family,query_text,rationale,relevant_chunk_ids,semantic_retrieved_chunk_ids,semantic_rank,semantic_hit_at_1,semantic_hit_at_3,semantic_mrr_at_3,reranker_retrieved_chunk_ids,reranker_rank,reranker_hit_at_1,reranker_hit_at_3,reranker_mrr_at_3,semantic_effective_rank,reranker_effective_rank,rank_change,mrr_change,comparison_outcome,chunks_promoted_into_top_3,chunks_removed_from_top_3
RAG-EVAL-001,EVIDENCE_PROFILE,A claimant reports liquid exposure. Which proof is mandatory for this category?,Tests category-to-evidence-profile mapping without using the exact table wording.,"[""KB-002::S03""]","[""KB-002::S03"", ""KB-002::S02"", ""KB-002::S01""]",1.0,1,1,1.0,"[""KB-002::S03"", ""KB-002::S02"", ""KB-005::S05""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,"[""KB-005::S05""]","[""KB-002::S01""]"
RAG-EVAL-002,EVIDENCE_STATUS,What is the correct operational response to a required image that cannot be read?,Tests handling of unreadable mandatory evidence.,"[""KB-002::S04""]","[""KB-002::S04"", ""KB-001::S05"", ""KB-004::S04""]",1.0,1,1,1.0,"[""KB-002::S04"", ""KB-002::S02"", ""KB-005::S04""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,"[""KB-002::S02"", ""KB-005::S04""]","[""KB-001::S05"", ""KB-004::S04""]"
RAG-EVAL-003,EVIDENCE_CONTRADICTION,A repair document identifies a different handset from the policy record. How should that inconsistency be handled?,Tests neutral handling of evidence that conflicts with structured device facts.,"[""KB-002::S05""]","[""KB-002::S05"", ""KB-004::S04"", ""KB-002::S03""]",1.0,1,1,1.0,"[""KB-002::S05"", ""KB-004::S04"", ""KB-002::S01""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,"[""KB-002::S01""]","[""KB-002::S03""]"
RAG-EVAL-004,EVIDENCE_PRINCIPLE,Can a supporting repair quotation make an otherwise uncovered event eligible?,Tests the principle that evidence validates a potentially eligible claim but does not create coverage.,"[""KB-002::S02""]","[""KB-002::S03"", ""KB-002::S02"", ""KB-005::S04""]",2.0,0,1,0.5,"[""KB-002::S02"", ""KB-002::S03"", ""KB-002::S05""]",1.0,1,1,1.0,2,1,1,0.5,IMPROVED,"[""KB-002::S05""]","[""KB-005::S04""]"
RAG-EVAL-005,MANUAL_REVIEW_PACKET,What details must accompany a case assigned for analyst review?,Tests required escalation-packet content.,"[""KB-004::S03""]","[""KB-004::S03"", ""KB-004::S01"", ""KB-004::S05""]",1.0,1,1,1.0,"[""KB-004::S01"", ""KB-004::S05"", ""KB-004::S03""]",3.0,0,1,0.333333,1,3,-2,-0.666667,REGRESSED,[],[]
RAG-EVAL-006,MANUAL_REVIEW_WRITING,How should an escalation note describe conflicting device identifiers without alleging dishonesty?,"Tests neutral, fact-based escalation writing.","[""KB-004::S04""]","[""KB-004::S04"", ""KB-004::S03"", ""KB-002::S05""]",1.0,1,1,1.0,"[""KB-004::S04"", ""KB-004::S02"", ""KB-004::S03""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,"[""KB-004::S02""]","[""KB-002::S05""]"
RAG-EVAL-007,MANUAL_REVIEW_SCOPE,What investigations or approvals are outside the triage agent's role after a review trigger?,Tests the boundary between triage support and analyst actions.,"[""KB-004::S05""]","[""KB-004::S05"", ""KB-001::S04"", ""KB-001::S02""]",1.0,1,1,1.0,"[""KB-004::S05"", ""KB-001::S02"", ""KB-001::S04""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,[],[]
RAG-EVAL-008,SOURCE_PRECEDENCE,"When structured sources disagree, which source order and routing approach should govern the triage?",Tests authoritative-source precedence and safe conflict routing.,"[""KB-001::S03""]","[""KB-001::S03"", ""KB-001::S02"", ""KB-001::S04""]",1.0,1,1,1.0,"[""KB-001::S02"", ""KB-001::S03"", ""KB-001::S05""]",2.0,0,1,0.5,1,2,-1,-0.5,REGRESSED,"[""KB-001::S05""]","[""KB-001::S04""]"
RAG-EVAL-009,MATERIAL_FOLLOW_UP,Should the system request additional paperwork after a conclusive policy failure already determines the route?,Tests the rule that follow-up must be material to the next decision step.,"[""KB-001::S05""]","[""KB-005::S04"", ""KB-001::S05"", ""KB-004::S03""]",2.0,0,1,0.5,"[""KB-001::S05"", ""KB-001::S04"", ""KB-004::S03""]",1.0,1,1,1.0,2,1,1,0.5,IMPROVED,"[""KB-001::S04""]","[""KB-005::S04""]"
RAG-EVAL-010,TRIAGE_FLOW,What operational sequence should be completed before choosing a triage disposition?,Tests the standard operational triage sequence.,"[""KB-001::S04""]","[""KB-001::S04"", ""KB-001::S02"", ""KB-001::S01""]",1.0,1,1,1.0,"[""KB-001::S04"", ""KB-001::S01"", ""KB-001::S02""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,[],[]
RAG-EVAL-011,EXPLANATION_FACT_TYPES,Which categories of facts and uncertainty need to be distinguished in an auditable explanation?,"Tests separation of verified, reported, unknown, and rule-based information.","[""KB-005::S02""]","[""KB-005::S02"", ""KB-005::S05"", ""KB-005::S03""]",1.0,1,1,1.0,"[""KB-005::S02"", ""KB-005::S05"", ""KB-005::S03""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,[],[]
RAG-EVAL-012,AUDIT_FIELDS,Which fields must be recorded to make a triage recommendation auditable?,Tests required decision-explanation and audit fields.,"[""KB-005::S03""]","[""KB-001::S04"", ""KB-005::S01"", ""KB-001::S02""]",,0,0,0.0,"[""KB-001::S02"", ""KB-005::S01"", ""KB-001::S04""]",,0,0,0.0,4,4,0,0.0,PERSISTENT_TOP_3_MISS,[],[]
RAG-EVAL-013,DISPOSITION_WORDING,How should the system express a recommended decline without presenting it as a final customer decision?,Tests safe disposition wording and non-finality.,"[""KB-005::S04""]","[""KB-005::S04"", ""KB-005::S02"", ""KB-004::S04""]",1.0,1,1,1.0,"[""KB-005::S04"", ""KB-004::S03"", ""KB-005::S02""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,"[""KB-004::S03""]","[""KB-004::S04""]"
RAG-EVAL-014,TRACEABILITY,What references should be retained for traceability while avoiding unnecessary customer information?,Tests traceability references and data-minimisation guidance.,"[""KB-005::S05""]","[""KB-005::S05"", ""KB-001::S05"", ""KB-005::S02""]",1.0,1,1,1.0,"[""KB-005::S05"", ""KB-005::S02"", ""KB-001::S06""]",1.0,1,1,1.0,1,1,0,0.0,UNCHANGED_TOP_1,"[""KB-001::S06""]","[""KB-001::S05""]"
