claim_id,evidence_bundle_id,dataset_partition,scenario_family,intended_disposition,expected_primary_rule,anticipated_manual_review_reason,generation_notes
CLM-000001,EBND-000001,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000002,EBND-000002,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000003,EBND-000003,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000004,EBND-000004,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000005,EBND-000005,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000006,EBND-000006,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000007,EBND-000007,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000008,EBND-000008,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000009,EBND-000009,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000010,EBND-000010,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000011,EBND-000011,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000012,EBND-000012,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000013,EBND-000013,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000014,EBND-000014,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000015,EBND-000015,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000016,EBND-000016,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000017,EBND-000017,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000018,EBND-000018,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000019,EBND-000019,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000020,EBND-000020,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000021,EBND-000021,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000022,EBND-000022,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000023,EBND-000023,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000024,EBND-000024,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000025,EBND-000025,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000026,EBND-000026,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000027,EBND-000027,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000028,EBND-000028,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000029,EBND-000029,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000030,EBND-000030,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000031,EBND-000031,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000032,EBND-000032,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000033,EBND-000033,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000034,EBND-000034,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000035,EBND-000035,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000036,EBND-000036,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000037,EBND-000037,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000038,EBND-000038,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000039,EBND-000039,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000040,EBND-000040,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000041,EBND-000041,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000042,EBND-000042,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000043,EBND-000043,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000044,EBND-000044,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000045,EBND-000045,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000046,EBND-000046,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000047,EBND-000047,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000048,EBND-000048,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000049,EBND-000049,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000050,EBND-000050,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000051,EBND-000051,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000052,EBND-000052,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000053,EBND-000053,DEVELOPMENT,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000054,EBND-000054,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000055,EBND-000055,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000056,EBND-000056,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000057,EBND-000057,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000058,EBND-000058,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000059,EBND-000059,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000060,EBND-000060,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000061,EBND-000061,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000062,EBND-000062,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000063,EBND-000063,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000064,EBND-000064,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000065,EBND-000065,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000066,EBND-000066,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000067,EBND-000067,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000068,EBND-000068,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000069,EBND-000069,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000070,EBND-000070,HELD_OUT_EVALUATION,valid_covered_claim,PROCEED,OUT-001,,Eligible policy and covered category; required evidence will be represented in Item #7.
CLM-000071,EBND-000071,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-06-10.
CLM-000072,EBND-000072,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-01-09.
CLM-000073,EBND-000073,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-05-05.
CLM-000074,EBND-000074,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-01-11.
CLM-000075,EBND-000075,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2025-09-09.
CLM-000076,EBND-000076,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-05-17.
CLM-000077,EBND-000077,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-03-30.
CLM-000078,EBND-000078,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-02-03.
CLM-000079,EBND-000079,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-03-22.
CLM-000080,EBND-000080,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-06-22.
CLM-000081,EBND-000081,DEVELOPMENT,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-03-05.
CLM-000082,EBND-000082,HELD_OUT_EVALUATION,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2025-12-31.
CLM-000083,EBND-000083,HELD_OUT_EVALUATION,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-06-14.
CLM-000084,EBND-000084,HELD_OUT_EVALUATION,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-04-09.
CLM-000085,EBND-000085,HELD_OUT_EVALUATION,missing_incident_date,INFO_REQUIRED,ELG-001,,Underlying incident date retained only for test construction: 2026-05-07.
CLM-000086,EBND-000086,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: LIQUID_DAMAGE.
CLM-000087,EBND-000087,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: SCREEN_DAMAGE.
CLM-000088,EBND-000088,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: THEFT.
CLM-000089,EBND-000089,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: SCREEN_DAMAGE.
CLM-000090,EBND-000090,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: SCREEN_DAMAGE.
CLM-000091,EBND-000091,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: ACCIDENTAL_DAMAGE.
CLM-000092,EBND-000092,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: SCREEN_DAMAGE.
CLM-000093,EBND-000093,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: SCREEN_DAMAGE.
CLM-000094,EBND-000094,DEVELOPMENT,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: SCREEN_DAMAGE.
CLM-000095,EBND-000095,HELD_OUT_EVALUATION,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: SCREEN_DAMAGE.
CLM-000096,EBND-000096,HELD_OUT_EVALUATION,ambiguous_claim_category,INFO_REQUIRED,CLM-001,,Underlying intended category for scenario construction: ACCIDENTAL_DAMAGE.
