method_name,query_id,query_family,relevant_chunk_ids,retrieved_chunk_ids,first_relevant_rank,hit_at_1,hit_at_3,mrr_at_3,retrieval_status
Lexical TF-IDF,RAG-EVAL-001,EVIDENCE_PROFILE,['KB-002::S03'],"['KB-002::S03', 'KB-005::S05', 'KB-002::S02']",1.0,1,1,1.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-002,EVIDENCE_STATUS,['KB-002::S04'],"['KB-002::S04', 'KB-001::S01', 'KB-002::S02']",1.0,1,1,1.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-003,EVIDENCE_CONTRADICTION,['KB-002::S05'],"['KB-002::S05', 'KB-004::S02', 'KB-001::S04']",1.0,1,1,1.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-004,EVIDENCE_PRINCIPLE,['KB-002::S02'],"['KB-002::S05', 'KB-002::S03', 'KB-001::S02']",,0,0,0.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-005,MANUAL_REVIEW_PACKET,['KB-004::S03'],"['KB-002::S02', 'KB-005::S04', 'KB-001::S02']",,0,0,0.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-006,MANUAL_REVIEW_WRITING,['KB-004::S04'],"['KB-004::S04', 'KB-004::S02', 'KB-001::S04']",1.0,1,1,1.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-007,MANUAL_REVIEW_SCOPE,['KB-004::S05'],"['KB-005::S04', 'KB-004::S05', 'KB-001::S01']",2.0,0,1,0.5,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-008,SOURCE_PRECEDENCE,['KB-001::S03'],"['KB-001::S02', 'KB-001::S03', 'KB-005::S02']",2.0,0,1,0.5,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-009,MATERIAL_FOLLOW_UP,['KB-001::S05'],"['KB-001::S05', 'KB-001::S04', 'KB-002::S04']",1.0,1,1,1.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-010,TRIAGE_FLOW,['KB-001::S04'],"['KB-001::S01', 'KB-001::S04', 'KB-001::S03']",2.0,0,1,0.5,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-011,EXPLANATION_FACT_TYPES,['KB-005::S02'],"['KB-005::S02', 'KB-005::S01', 'KB-004::S03']",1.0,1,1,1.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-012,AUDIT_FIELDS,['KB-005::S03'],"['KB-001::S02', 'KB-005::S01', 'KB-005::S03']",3.0,0,1,0.333333,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-013,DISPOSITION_WORDING,['KB-005::S04'],"['KB-005::S04', 'KB-001::S06', 'KB-004::S03']",1.0,1,1,1.0,RESULTS_FOUND
Lexical TF-IDF,RAG-EVAL-014,TRACEABILITY,['KB-005::S05'],"['KB-005::S05', 'KB-005::S02', 'KB-005::S01']",1.0,1,1,1.0,RESULTS_FOUND
