label_id,claim_id,dataset_partition,gold_disposition,gold_primary_rule_id,gold_acceptable_primary_rule_ids,gold_applicable_decision_rule_ids,gold_follow_up_question_ids,gold_manual_review_reason,gold_evidence_assessment,gold_next_agent_action,gold_requires_manual_analyst_review,gold_reason_summary,label_status,label_version,label_snapshot_date
GTL-000166,CLM-000054,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000167,CLM-000055,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000168,CLM-000056,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000169,CLM-000057,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000170,CLM-000058,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000171,CLM-000059,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000172,CLM-000060,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000173,CLM-000061,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000174,CLM-000062,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000175,CLM-000063,HELD_OUT_EVALUATION,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
