label_id,claim_id,dataset_partition,gold_disposition,gold_primary_rule_id,gold_acceptable_primary_rule_ids,gold_applicable_decision_rule_ids,gold_follow_up_question_ids,gold_manual_review_reason,gold_evidence_assessment,gold_next_agent_action,gold_requires_manual_analyst_review,gold_reason_summary,label_status,label_version,label_snapshot_date
GTL-000001,CLM-000001,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000002,CLM-000002,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000003,CLM-000003,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000004,CLM-000004,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000005,CLM-000005,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000006,CLM-000006,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000007,CLM-000007,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000008,CLM-000008,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000009,CLM-000009,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000010,CLM-000010,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000011,CLM-000011,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000012,CLM-000012,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
GTL-000013,CLM-000013,DEVELOPMENT,PROCEED,OUT-001,OUT-001,OUT-001,,,SUFFICIENT,ROUTE_STANDARD_PROCESSING,False,"Policy, coverage, device, date, claim-limit, evidence, and risk checks are satisfied for standard processing.",FINAL_INTERNAL_ORACLE,1.0,2026-06-23
