method_name,query_family,query_count,hit_at_1,hit_at_3,mrr_at_3
Lexical TF-IDF,AUDIT_FIELDS,1,0.0,1.0,0.333333
Lexical TF-IDF,DISPOSITION_WORDING,1,1.0,1.0,1.0
Lexical TF-IDF,EVIDENCE_CONTRADICTION,1,1.0,1.0,1.0
Lexical TF-IDF,EVIDENCE_PRINCIPLE,1,0.0,0.0,0.0
Lexical TF-IDF,EVIDENCE_PROFILE,1,1.0,1.0,1.0
Lexical TF-IDF,EVIDENCE_STATUS,1,1.0,1.0,1.0
Lexical TF-IDF,EXPLANATION_FACT_TYPES,1,1.0,1.0,1.0
Lexical TF-IDF,MANUAL_REVIEW_PACKET,1,0.0,0.0,0.0
Lexical TF-IDF,MANUAL_REVIEW_SCOPE,1,0.0,1.0,0.5
Lexical TF-IDF,MANUAL_REVIEW_WRITING,1,1.0,1.0,1.0
Lexical TF-IDF,MATERIAL_FOLLOW_UP,1,1.0,1.0,1.0
Lexical TF-IDF,SOURCE_PRECEDENCE,1,0.0,1.0,0.5
Lexical TF-IDF,TRACEABILITY,1,1.0,1.0,1.0
Lexical TF-IDF,TRIAGE_FLOW,1,0.0,1.0,0.5
Semantic Embedding,AUDIT_FIELDS,1,0.0,0.0,0.0
Semantic Embedding,DISPOSITION_WORDING,1,1.0,1.0,1.0
Semantic Embedding,EVIDENCE_CONTRADICTION,1,1.0,1.0,1.0
Semantic Embedding,EVIDENCE_PRINCIPLE,1,0.0,1.0,0.5
Semantic Embedding,EVIDENCE_PROFILE,1,1.0,1.0,1.0
Semantic Embedding,EVIDENCE_STATUS,1,1.0,1.0,1.0
Semantic Embedding,EXPLANATION_FACT_TYPES,1,1.0,1.0,1.0
Semantic Embedding,MANUAL_REVIEW_PACKET,1,1.0,1.0,1.0
Semantic Embedding,MANUAL_REVIEW_SCOPE,1,1.0,1.0,1.0
Semantic Embedding,MANUAL_REVIEW_WRITING,1,1.0,1.0,1.0
Semantic Embedding,MATERIAL_FOLLOW_UP,1,0.0,1.0,0.5
Semantic Embedding,SOURCE_PRECEDENCE,1,1.0,1.0,1.0
Semantic Embedding,TRACEABILITY,1,1.0,1.0,1.0
Semantic Embedding,TRIAGE_FLOW,1,1.0,1.0,1.0
Hybrid RRF,AUDIT_FIELDS,1,0.0,0.0,0.0
Hybrid RRF,DISPOSITION_WORDING,1,1.0,1.0,1.0
Hybrid RRF,EVIDENCE_CONTRADICTION,1,1.0,1.0,1.0
Hybrid RRF,EVIDENCE_PRINCIPLE,1,0.0,1.0,0.333333
Hybrid RRF,EVIDENCE_PROFILE,1,1.0,1.0,1.0
Hybrid RRF,EVIDENCE_STATUS,1,1.0,1.0,1.0
Hybrid RRF,EXPLANATION_FACT_TYPES,1,1.0,1.0,1.0
Hybrid RRF,MANUAL_REVIEW_PACKET,1,0.0,1.0,0.333333
Hybrid RRF,MANUAL_REVIEW_SCOPE,1,1.0,1.0,1.0
Hybrid RRF,MANUAL_REVIEW_WRITING,1,1.0,1.0,1.0
Hybrid RRF,MATERIAL_FOLLOW_UP,1,1.0,1.0,1.0
Hybrid RRF,SOURCE_PRECEDENCE,1,0.0,1.0,0.5
Hybrid RRF,TRACEABILITY,1,1.0,1.0,1.0
Hybrid RRF,TRIAGE_FLOW,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,AUDIT_FIELDS,1,0.0,0.0,0.0
Semantic + Cross-Encoder Reranker,DISPOSITION_WORDING,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,EVIDENCE_CONTRADICTION,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,EVIDENCE_PRINCIPLE,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,EVIDENCE_PROFILE,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,EVIDENCE_STATUS,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,EXPLANATION_FACT_TYPES,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,MANUAL_REVIEW_PACKET,1,0.0,1.0,0.333333
Semantic + Cross-Encoder Reranker,MANUAL_REVIEW_SCOPE,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,MANUAL_REVIEW_WRITING,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,MATERIAL_FOLLOW_UP,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,SOURCE_PRECEDENCE,1,0.0,1.0,0.5
Semantic + Cross-Encoder Reranker,TRACEABILITY,1,1.0,1.0,1.0
Semantic + Cross-Encoder Reranker,TRIAGE_FLOW,1,1.0,1.0,1.0
