claim_id,gold_disposition,predicted_disposition,gold_primary_rule_id,gold_acceptable_primary_rule_ids,predicted_triggering_rule_id,disposition_match,primary_rule_exact_match,primary_rule_acceptable_match,gold_follow_up_question_ids,predicted_follow_up_question_ids,follow_up_exact_match,mismatch_type,gold_rule_family,predicted_rule_family,known_baseline_limitation
CLM-000118,INFO_REQUIRED,INFO_REQUIRED,EVD-001,['EVD-001'],EVD-001,True,True,True,['FUP-012'],['FUP-011'],False,FOLLOW_UP_SELECTION_MISMATCH,EVD,EVD,False
CLM-000154,MANUAL_REVIEW,NOT_ELIGIBLE,EVD-002,['EVD-002'],COV-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,EVD,COV,False
CLM-000156,MANUAL_REVIEW,NOT_ELIGIBLE,EVD-002,['EVD-002'],COV-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,EVD,COV,False
CLM-000157,MANUAL_REVIEW,NOT_ELIGIBLE,EVD-002,['EVD-002'],COV-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,EVD,COV,False
CLM-000170,MANUAL_REVIEW,PROCEED,DATA-002,['DATA-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,DATA,OUT,False
CLM-000171,MANUAL_REVIEW,PROCEED,DATA-002,['DATA-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,DATA,OUT,False
CLM-000172,MANUAL_REVIEW,PROCEED,DATA-002,['DATA-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,DATA,OUT,False
CLM-000173,MANUAL_REVIEW,PROCEED,DATA-002,['DATA-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,DATA,OUT,False
CLM-000176,MANUAL_REVIEW,PROCEED,EXC-002,['EXC-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,EXC,OUT,True
CLM-000177,MANUAL_REVIEW,PROCEED,EXC-002,['EXC-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,EXC,OUT,True
CLM-000178,MANUAL_REVIEW,PROCEED,EXC-002,['EXC-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,EXC,OUT,True
CLM-000197,NOT_ELIGIBLE,PROCEED,ELG-002,['ELG-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,ELG,OUT,False
CLM-000200,NOT_ELIGIBLE,PROCEED,ELG-002,['ELG-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,ELG,OUT,False
CLM-000201,NOT_ELIGIBLE,PROCEED,ELG-002,['ELG-002'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,ELG,OUT,False
CLM-000218,NOT_ELIGIBLE,PROCEED,EXC-001,['EXC-001'],OUT-001,False,False,False,[],[],True,DISPOSITION_OR_RULE_MISMATCH,EXC,OUT,True
